no.,ticker,company name,average price(5Y),annual volatility,average volume
1,ADVANC.BK,Advanced Info Service PCL,201.96,0.2084,6241732
2,AOT.BK,Airports of Thailand PCL,66.24,0.2808,25412086
3,BBL.BK,Bangkok Bank PCL,136.55,0.271,9460450
4,BDMS.BK,Bangkok Dusit Medical Services PCL,24.94,0.2477,36523392
5,CPALL.BK,CP ALL PCL,63.67,0.2145,25866994
6,CPN.BK,Central Pattana PCL,59.32,0.3326,8644738
7,GPSC.BK,Global Power Synergy PCL,66.6,0.3688,12916383
8,HMPRO.BK,Home Product Center PCL,13.96,0.2928,25107549
9,IVL.BK,Indorama Ventures PCL,34.78,0.4247,23236021
10,KBANK.BK,Kasikornbank PCL,130.32,0.3304,17911835
11,KTB.BK,Krung Thai Bank PCL,14.76,0.2719,39232630
12,MINT.BK,Minor International PCL,30.03,0.3825,25787549
13,PTTEP.BK,PTT Exploration and Production PCL,132.5,0.3638,12162033
14,PTT.BK,PTT PCL,36.94,0.29,55005092
15,SCC.BK,Siam Cement PCL,350.49,0.221,2494604
16,TRUE.BK,True Corporation PCL,4.97,0.4257,124286086
17,TTB.BK,TMBThanachart Bank PCL,1.34,0.3445,328024547
18,WHA.BK,WHA Corporation PCL,3.83,0.3406,85878624
